Starting training at: Fri Apr 17 12:21:15 AM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '1.146', 'grad_norm': '10.35', 'learning_rate': '9.409e-06', 'epoch': '0.1918'}
{'loss': '1.066', 'grad_norm': '6.677', 'learning_rate': '9.39e-06', 'epoch': '0.1955'}
{'loss': '1.002', 'grad_norm': '4.629', 'learning_rate': '9.372e-06', 'epoch': '0.1992'}
{'loss': '0.9648', 'grad_norm': '10.27', 'learning_rate': '9.353e-06', 'epoch': '0.2029'}
{'loss': '0.903', 'grad_norm': '7.579', 'learning_rate': '9.335e-06', 'epoch': '0.2066'}
{'loss': '0.8913', 'grad_norm': '6.938', 'learning_rate': '9.316e-06', 'epoch': '0.2102'}
{'loss': '0.8575', 'grad_norm': '9.741', 'learning_rate': '9.298e-06', 'epoch': '0.2139'}
{'loss': '0.8323', 'grad_norm': '6.963', 'learning_rate': '9.279e-06', 'epoch': '0.2176'}
{'loss': '0.7833', 'grad_norm': '5.598', 'learning_rate': '9.261e-06', 'epoch': '0.2213'}
{'eval_loss': '0.7273', 'eval_wer': '0.4837', 'eval_runtime': '23.53', 'eval_samples_per_second': '60.65', 'eval_steps_per_second': '7.608', 'epoch': '0.2213'}
{'loss': '0.7561', 'grad_norm': '5.128', 'learning_rate': '9.242e-06', 'epoch': '0.225'}
{'loss': '0.7441', 'grad_norm': '20.01', 'learning_rate': '9.224e-06', 'epoch': '0.2287'}
{'loss': '0.7276', 'grad_norm': '3.553', 'learning_rate': '9.205e-06', 'epoch': '0.2324'}
{'loss': '0.6959', 'grad_norm': '4.69', 'learning_rate': '9.187e-06', 'epoch': '0.2361'}
{'loss': '0.6928', 'grad_norm': '5.209', 'learning_rate': '9.168e-06', 'epoch': '0.2397'}
{'loss': '0.6563', 'grad_norm': '5.195', 'learning_rate': '9.15e-06', 'epoch': '0.2434'}
{'loss': '0.6622', 'grad_norm': '9.705', 'learning_rate': '9.131e-06', 'epoch': '0.2471'}
{'loss': '0.6588', 'grad_norm': '8.628', 'learning_rate': '9.113e-06', 'epoch': '0.2508'}
{'loss': '0.649', 'grad_norm': '6.391', 'learning_rate': '9.094e-06', 'epoch': '0.2545'}
{'loss': '0.601', 'grad_norm': '2.729', 'learning_rate': '9.076e-06', 'epoch': '0.2582'}
{'eval_loss': '0.5731', 'eval_wer': '0.3984', 'eval_runtime': '23.7', 'eval_samples_per_second': '60.22', 'eval_steps_per_second': '7.554', 'epoch': '0.2582'}
{'loss': '0.6194', 'grad_norm': '7.569', 'learning_rate': '9.057e-06', 'epoch': '0.2619'}
{'loss': '0.6234', 'grad_norm': '20.23', 'learning_rate': '9.039e-06', 'epoch': '0.2656'}
{'loss': '0.578', 'grad_norm': '6.801', 'learning_rate': '9.02e-06', 'epoch': '0.2693'}
{'loss': '0.5809', 'grad_norm': '5.396', 'learning_rate': '9.001e-06', 'epoch': '0.2729'}
{'loss': '0.5798', 'grad_norm': '13.89', 'learning_rate': '8.983e-06', 'epoch': '0.2766'}
{'loss': '0.5887', 'grad_norm': '9.141', 'learning_rate': '8.964e-06', 'epoch': '0.2803'}
{'loss': '0.5506', 'grad_norm': '6.133', 'learning_rate': '8.946e-06', 'epoch': '0.284'}
{'loss': '0.5471', 'grad_norm': '6.508', 'learning_rate': '8.927e-06', 'epoch': '0.2877'}
{'loss': '0.5242', 'grad_norm': '4.901', 'learning_rate': '8.909e-06', 'epoch': '0.2914'}
{'loss': '0.5157', 'grad_norm': '14', 'learning_rate': '8.89e-06', 'epoch': '0.2951'}
{'eval_loss': '0.486', 'eval_wer': '0.3377', 'eval_runtime': '23.57', 'eval_samples_per_second': '60.54', 'eval_steps_per_second': '7.594', 'epoch': '0.2951'}
{'loss': '0.5211', 'grad_norm': '17.44', 'learning_rate': '8.872e-06', 'epoch': '0.2988'}
{'loss': '0.5443', 'grad_norm': '3.255', 'learning_rate': '8.853e-06', 'epoch': '0.3024'}
{'loss': '0.5148', 'grad_norm': '6.705', 'learning_rate': '8.835e-06', 'epoch': '0.3061'}
{'loss': '0.4931', 'grad_norm': '10.63', 'learning_rate': '8.816e-06', 'epoch': '0.3098'}
{'loss': '0.531', 'grad_norm': '17.49', 'learning_rate': '8.798e-06', 'epoch': '0.3135'}
{'loss': '0.5013', 'grad_norm': '8.904', 'learning_rate': '8.78e-06', 'epoch': '0.3172'}
{'loss': '0.4802', 'grad_norm': '6.51', 'learning_rate': '8.761e-06', 'epoch': '0.3209'}
{'loss': '0.4757', 'grad_norm': '8.199', 'learning_rate': '8.743e-06', 'epoch': '0.3246'}
{'loss': '0.4838', 'grad_norm': '9.061', 'learning_rate': '8.724e-06', 'epoch': '0.3283'}
{'loss': '0.4858', 'grad_norm': '8.086', 'learning_rate': '8.706e-06', 'epoch': '0.332'}
{'eval_loss': '0.4179', 'eval_wer': '0.3105', 'eval_runtime': '23.4', 'eval_samples_per_second': '60.98', 'eval_steps_per_second': '7.65', 'epoch': '0.332'}
{'loss': '0.451', 'grad_norm': '15.19', 'learning_rate': '8.687e-06', 'epoch': '0.3356'}
{'loss': '0.4507', 'grad_norm': '16.46', 'learning_rate': '8.669e-06', 'epoch': '0.3393'}
{'loss': '0.4774', 'grad_norm': '7.271', 'learning_rate': '8.65e-06', 'epoch': '0.343'}
{'loss': '0.4402', 'grad_norm': '7.111', 'learning_rate': '8.631e-06', 'epoch': '0.3467'}
{'loss': '0.4384', 'grad_norm': '30.32', 'learning_rate': '8.613e-06', 'epoch': '0.3504'}
{'loss': '0.4355', 'grad_norm': '6.53', 'learning_rate': '8.594e-06', 'epoch': '0.3541'}
{'loss': '0.4273', 'grad_norm': '7.859', 'learning_rate': '8.576e-06', 'epoch': '0.3578'}
{'loss': '0.439', 'grad_norm': '16.53', 'learning_rate': '8.557e-06', 'epoch': '0.3615'}
{'loss': '0.4492', 'grad_norm': '6.787', 'learning_rate': '8.539e-06', 'epoch': '0.3652'}
{'loss': '0.4373', 'grad_norm': '15.51', 'learning_rate': '8.52e-06', 'epoch': '0.3688'}
{'eval_loss': '0.3833', 'eval_wer': '0.2998', 'eval_runtime': '23.41', 'eval_samples_per_second': '60.95', 'eval_steps_per_second': '7.646', 'epoch': '0.3688'}
{'loss': '0.4289', 'grad_norm': '21.09', 'learning_rate': '8.502e-06', 'epoch': '0.3725'}
{'loss': '0.404', 'grad_norm': '6.879', 'learning_rate': '8.483e-06', 'epoch': '0.3762'}
{'loss': '0.4059', 'grad_norm': '7.025', 'learning_rate': '8.465e-06', 'epoch': '0.3799'}
{'loss': '0.3828', 'grad_norm': '14.32', 'learning_rate': '8.446e-06', 'epoch': '0.3836'}
{'loss': '0.4019', 'grad_norm': '8.437', 'learning_rate': '8.428e-06', 'epoch': '0.3873'}
{'loss': '0.3832', 'grad_norm': '8.644', 'learning_rate': '8.409e-06', 'epoch': '0.391'}
{'loss': '0.4004', 'grad_norm': '5.458', 'learning_rate': '8.391e-06', 'epoch': '0.3947'}
{'loss': '0.3763', 'grad_norm': '5.36', 'learning_rate': '8.372e-06', 'epoch': '0.3983'}
{'loss': '0.3685', 'grad_norm': '5', 'learning_rate': '8.354e-06', 'epoch': '0.402'}
{'loss': '0.3871', 'grad_norm': '7.873', 'learning_rate': '8.335e-06', 'epoch': '0.4057'}
{'eval_loss': '0.343', 'eval_wer': '0.2831', 'eval_runtime': '23.3', 'eval_samples_per_second': '61.23', 'eval_steps_per_second': '7.681', 'epoch': '0.4057'}
{'loss': '0.3826', 'grad_norm': '9.881', 'learning_rate': '8.317e-06', 'epoch': '0.4094'}
{'loss': '0.3711', 'grad_norm': '17.49', 'learning_rate': '8.298e-06', 'epoch': '0.4131'}
{'loss': '0.3573', 'grad_norm': '8.117', 'learning_rate': '8.28e-06', 'epoch': '0.4168'}
{'loss': '0.3466', 'grad_norm': '13.18', 'learning_rate': '8.261e-06', 'epoch': '0.4205'}
{'loss': '0.3649', 'grad_norm': '6.396', 'learning_rate': '8.243e-06', 'epoch': '0.4242'}
{'loss': '0.3823', 'grad_norm': '28.82', 'learning_rate': '8.224e-06', 'epoch': '0.4279'}
{'loss': '0.366', 'grad_norm': '11.72', 'learning_rate': '8.206e-06', 'epoch': '0.4315'}
{'loss': '0.3683', 'grad_norm': '6.261', 'learning_rate': '8.187e-06', 'epoch': '0.4352'}
{'loss': '0.3621', 'grad_norm': '16.13', 'learning_rate': '8.169e-06', 'epoch': '0.4389'}
{'loss': '0.344', 'grad_norm': '6.574', 'learning_rate': '8.15e-06', 'epoch': '0.4426'}
{'eval_loss': '0.3194', 'eval_wer': '0.2798', 'eval_runtime': '24.83', 'eval_samples_per_second': '57.48', 'eval_steps_per_second': '7.21', 'epoch': '0.4426'}
{'loss': '0.3465', 'grad_norm': '6.527', 'learning_rate': '8.131e-06', 'epoch': '0.4463'}
{'loss': '0.3481', 'grad_norm': '19.03', 'learning_rate': '8.113e-06', 'epoch': '0.45'}
{'loss': '0.3695', 'grad_norm': '39.15', 'learning_rate': '8.094e-06', 'epoch': '0.4537'}
{'loss': '0.355', 'grad_norm': '5.566', 'learning_rate': '8.076e-06', 'epoch': '0.4574'}
{'loss': '0.3438', 'grad_norm': '9.964', 'learning_rate': '8.057e-06', 'epoch': '0.4611'}
{'loss': '0.3211', 'grad_norm': '18.02', 'learning_rate': '8.039e-06', 'epoch': '0.4647'}
{'loss': '0.3206', 'grad_norm': '6.475', 'learning_rate': '8.02e-06', 'epoch': '0.4684'}
{'loss': '0.3479', 'grad_norm': '10.81', 'learning_rate': '8.002e-06', 'epoch': '0.4721'}
{'loss': '0.3388', 'grad_norm': 'inf', 'learning_rate': '7.983e-06', 'epoch': '0.4758'}
{'loss': '0.3644', 'grad_norm': '15.7', 'learning_rate': '7.965e-06', 'epoch': '0.4795'}
{'eval_loss': '0.2944', 'eval_wer': '0.269', 'eval_runtime': '23.43', 'eval_samples_per_second': '60.9', 'eval_steps_per_second': '7.639', 'epoch': '0.4795'}
{'loss': '0.3119', 'grad_norm': '10.12', 'learning_rate': '7.947e-06', 'epoch': '0.4832'}
{'loss': '0.3302', 'grad_norm': '5.798', 'learning_rate': '7.928e-06', 'epoch': '0.4869'}
{'loss': '0.3052', 'grad_norm': '6.689', 'learning_rate': '7.91e-06', 'epoch': '0.4906'}
{'loss': '0.3246', 'grad_norm': '7.283', 'learning_rate': '7.891e-06', 'epoch': '0.4942'}
{'loss': '0.3596', 'grad_norm': '6.375', 'learning_rate': '7.873e-06', 'epoch': '0.4979'}
{'loss': '0.2959', 'grad_norm': '6.718', 'learning_rate': '7.854e-06', 'epoch': '0.5016'}
{'loss': '0.3399', 'grad_norm': '21.36', 'learning_rate': '7.836e-06', 'epoch': '0.5053'}
{'loss': '0.3217', 'grad_norm': '7.539', 'learning_rate': '7.817e-06', 'epoch': '0.509'}
{'loss': '0.3055', 'grad_norm': '24.71', 'learning_rate': '7.799e-06', 'epoch': '0.5127'}
{'loss': '0.2898', 'grad_norm': '7.175', 'learning_rate': '7.78e-06', 'epoch': '0.5164'}
{'eval_loss': '0.28', 'eval_wer': '0.2621', 'eval_runtime': '23.72', 'eval_samples_per_second': '60.15', 'eval_steps_per_second': '7.546', 'epoch': '0.5164'}
{'loss': '0.2766', 'grad_norm': '7.678', 'learning_rate': '7.761e-06', 'epoch': '0.5201'}
{'loss': '0.3263', 'grad_norm': '3.418', 'learning_rate': '7.743e-06', 'epoch': '0.5238'}
{'loss': '0.3214', 'grad_norm': '8.419', 'learning_rate': '7.724e-06', 'epoch': '0.5274'}
{'loss': '0.3062', 'grad_norm': '4.466', 'learning_rate': '7.706e-06', 'epoch': '0.5311'}
{'loss': '0.3158', 'grad_norm': '7.79', 'learning_rate': '7.687e-06', 'epoch': '0.5348'}
{'loss': '0.2904', 'grad_norm': '12.07', 'learning_rate': '7.669e-06', 'epoch': '0.5385'}
{'loss': '0.3202', 'grad_norm': '5.892', 'learning_rate': '7.65e-06', 'epoch': '0.5422'}
{'loss': '0.3054', 'grad_norm': '5.528', 'learning_rate': '7.632e-06', 'epoch': '0.5459'}
{'loss': '0.3247', 'grad_norm': '27.75', 'learning_rate': '7.613e-06', 'epoch': '0.5496'}
{'loss': '0.2947', 'grad_norm': '10.89', 'learning_rate': '7.595e-06', 'epoch': '0.5533'}
{'eval_loss': '0.2695', 'eval_wer': '0.2548', 'eval_runtime': '23.91', 'eval_samples_per_second': '59.69', 'eval_steps_per_second': '7.488', 'epoch': '0.5533'}
{'loss': '0.3132', 'grad_norm': '18.12', 'learning_rate': '7.576e-06', 'epoch': '0.5569'}
{'loss': '0.2856', 'grad_norm': '12.94', 'learning_rate': '7.558e-06', 'epoch': '0.5606'}
{'loss': '0.3017', 'grad_norm': '18.09', 'learning_rate': '7.539e-06', 'epoch': '0.5643'}
{'loss': '0.3069', 'grad_norm': '6.159', 'learning_rate': '7.521e-06', 'epoch': '0.568'}
{'loss': '0.2848', 'grad_norm': '5.108', 'learning_rate': '7.502e-06', 'epoch': '0.5717'}
{'loss': '0.2985', 'grad_norm': '28.42', 'learning_rate': '7.484e-06', 'epoch': '0.5754'}
{'loss': '0.2989', 'grad_norm': '6.098', 'learning_rate': '7.465e-06', 'epoch': '0.5791'}
{'loss': '0.2565', 'grad_norm': '1.233', 'learning_rate': '7.447e-06', 'epoch': '0.5828'}
{'loss': '0.277', 'grad_norm': '22.24', 'learning_rate': '7.428e-06', 'epoch': '0.5865'}
{'loss': '0.31', 'grad_norm': '5.838', 'learning_rate': '7.41e-06', 'epoch': '0.5901'}
{'eval_loss': '0.2529', 'eval_wer': '0.2541', 'eval_runtime': '23.86', 'eval_samples_per_second': '59.8', 'eval_steps_per_second': '7.501', 'epoch': '0.5901'}
{'loss': '0.268', 'grad_norm': '4.498', 'learning_rate': '7.391e-06', 'epoch': '0.5938'}
{'loss': '0.2546', 'grad_norm': '4.52', 'learning_rate': '7.373e-06', 'epoch': '0.5975'}
{'loss': '0.3115', 'grad_norm': '13.66', 'learning_rate': '7.354e-06', 'epoch': '0.6012'}
{'loss': '0.2993', 'grad_norm': '15.81', 'learning_rate': '7.336e-06', 'epoch': '0.6049'}
{'loss': '0.2784', 'grad_norm': '16.85', 'learning_rate': '7.317e-06', 'epoch': '0.6086'}
{'loss': '0.2961', 'grad_norm': '9.617', 'learning_rate': '7.299e-06', 'epoch': '0.6123'}
{'loss': '0.2709', 'grad_norm': '11.56', 'learning_rate': '7.28e-06', 'epoch': '0.616'}
{'loss': '0.2581', 'grad_norm': '4.189', 'learning_rate': '7.261e-06', 'epoch': '0.6197'}
{'loss': '0.2664', 'grad_norm': '5.396', 'learning_rate': '7.243e-06', 'epoch': '0.6233'}
{'loss': '0.2713', 'grad_norm': '7.352', 'learning_rate': '7.224e-06', 'epoch': '0.627'}
{'eval_loss': '0.2418', 'eval_wer': '0.2448', 'eval_runtime': '23.93', 'eval_samples_per_second': '59.64', 'eval_steps_per_second': '7.481', 'epoch': '0.627'}
{'loss': '0.2427', 'grad_norm': '6.637', 'learning_rate': '7.206e-06', 'epoch': '0.6307'}
{'loss': '0.2529', 'grad_norm': '11.71', 'learning_rate': '7.187e-06', 'epoch': '0.6344'}
{'loss': '0.2616', 'grad_norm': '4.791', 'learning_rate': '7.169e-06', 'epoch': '0.6381'}
{'loss': '0.2512', 'grad_norm': '10.57', 'learning_rate': '7.15e-06', 'epoch': '0.6418'}
{'loss': '0.2595', 'grad_norm': '3.118', 'learning_rate': '7.132e-06', 'epoch': '0.6455'}
{'loss': '0.2683', 'grad_norm': '14.66', 'learning_rate': '7.113e-06', 'epoch': '0.6492'}
{'loss': '0.2521', 'grad_norm': '10.57', 'learning_rate': '7.095e-06', 'epoch': '0.6528'}
{'loss': '0.2624', 'grad_norm': '4.85', 'learning_rate': '7.076e-06', 'epoch': '0.6565'}
{'loss': '0.2425', 'grad_norm': '5.011', 'learning_rate': '7.058e-06', 'epoch': '0.6602'}
{'loss': '0.2628', 'grad_norm': '19.48', 'learning_rate': '7.039e-06', 'epoch': '0.6639'}
{'eval_loss': '0.2248', 'eval_wer': '0.2366', 'eval_runtime': '23.39', 'eval_samples_per_second': '61', 'eval_steps_per_second': '7.651', 'epoch': '0.6639'}
{'loss': '0.2472', 'grad_norm': '6.801', 'learning_rate': '7.021e-06', 'epoch': '0.6676'}
{'loss': '0.2487', 'grad_norm': '9.267', 'learning_rate': '7.002e-06', 'epoch': '0.6713'}
{'loss': '0.2573', 'grad_norm': '28.47', 'learning_rate': '6.984e-06', 'epoch': '0.675'}
{'loss': '0.2369', 'grad_norm': '7.538', 'learning_rate': '6.965e-06', 'epoch': '0.6787'}
{'loss': '0.2437', 'grad_norm': 'inf', 'learning_rate': '6.947e-06', 'epoch': '0.6824'}
{'loss': '0.2601', 'grad_norm': '10.7', 'learning_rate': '6.929e-06', 'epoch': '0.686'}
{'loss': '0.2722', 'grad_norm': '5.889', 'learning_rate': '6.91e-06', 'epoch': '0.6897'}
{'loss': '0.2537', 'grad_norm': '10.53', 'learning_rate': '6.891e-06', 'epoch': '0.6934'}
{'loss': '0.2703', 'grad_norm': '21.25', 'learning_rate': '6.873e-06', 'epoch': '0.6971'}
{'loss': '0.238', 'grad_norm': '11', 'learning_rate': '6.854e-06', 'epoch': '0.7008'}
{'eval_loss': '0.2164', 'eval_wer': '0.2291', 'eval_runtime': '23.41', 'eval_samples_per_second': '60.96', 'eval_steps_per_second': '7.647', 'epoch': '0.7008'}
{'loss': '0.2359', 'grad_norm': '8.037', 'learning_rate': '6.836e-06', 'epoch': '0.7045'}
{'loss': '0.2497', 'grad_norm': '8.532', 'learning_rate': '6.817e-06', 'epoch': '0.7082'}
{'loss': '0.2293', 'grad_norm': '11.43', 'learning_rate': '6.799e-06', 'epoch': '0.7119'}
{'loss': '0.2346', 'grad_norm': '6.406', 'learning_rate': '6.78e-06', 'epoch': '0.7156'}
{'loss': '0.2261', 'grad_norm': '11.82', 'learning_rate': '6.762e-06', 'epoch': '0.7192'}
{'loss': '0.2126', 'grad_norm': '2.117', 'learning_rate': '6.743e-06', 'epoch': '0.7229'}
{'loss': '0.2355', 'grad_norm': '17.11', 'learning_rate': '6.725e-06', 'epoch': '0.7266'}
{'loss': '0.2479', 'grad_norm': '28.16', 'learning_rate': '6.706e-06', 'epoch': '0.7303'}
{'loss': '0.2397', 'grad_norm': '22.6', 'learning_rate': '6.688e-06', 'epoch': '0.734'}
{'loss': '0.2627', 'grad_norm': '10.63', 'learning_rate': '6.669e-06', 'epoch': '0.7377'}
{'eval_loss': '0.2114', 'eval_wer': '0.2311', 'eval_runtime': '24.3', 'eval_samples_per_second': '58.73', 'eval_steps_per_second': '7.366', 'epoch': '0.7377'}
{'loss': '0.22', 'grad_norm': '3.878', 'learning_rate': '6.651e-06', 'epoch': '0.7414'}
{'loss': '0.2185', 'grad_norm': '6.217', 'learning_rate': '6.632e-06', 'epoch': '0.7451'}
{'loss': '0.2594', 'grad_norm': '17.3', 'learning_rate': '6.614e-06', 'epoch': '0.7487'}
{'loss': '0.2403', 'grad_norm': '6.709', 'learning_rate': '6.595e-06', 'epoch': '0.7524'}
{'loss': '0.2052', 'grad_norm': '8.124', 'learning_rate': '6.577e-06', 'epoch': '0.7561'}
{'loss': '0.2499', 'grad_norm': '17.36', 'learning_rate': '6.558e-06', 'epoch': '0.7598'}
{'loss': '0.2632', 'grad_norm': '4.95', 'learning_rate': '6.54e-06', 'epoch': '0.7635'}
{'loss': '0.2317', 'grad_norm': '6.568', 'learning_rate': '6.521e-06', 'epoch': '0.7672'}
{'loss': '0.2292', 'grad_norm': '7.521', 'learning_rate': '6.503e-06', 'epoch': '0.7709'}
{'loss': '0.2257', 'grad_norm': '7.745', 'learning_rate': '6.484e-06', 'epoch': '0.7746'}
{'eval_loss': '0.2031', 'eval_wer': '0.2228', 'eval_runtime': '24.11', 'eval_samples_per_second': '59.19', 'eval_steps_per_second': '7.424', 'epoch': '0.7746'}
{'loss': '0.2312', 'grad_norm': '9.566', 'learning_rate': '6.466e-06', 'epoch': '0.7783'}
{'loss': '0.2096', 'grad_norm': '6.537', 'learning_rate': '6.447e-06', 'epoch': '0.7819'}
{'loss': '0.2566', 'grad_norm': '14.62', 'learning_rate': '6.429e-06', 'epoch': '0.7856'}
{'loss': '0.2243', 'grad_norm': '14.15', 'learning_rate': '6.41e-06', 'epoch': '0.7893'}
{'loss': '0.2228', 'grad_norm': '5.562', 'learning_rate': '6.391e-06', 'epoch': '0.793'}
{'loss': '0.2206', 'grad_norm': '8.133', 'learning_rate': '6.373e-06', 'epoch': '0.7967'}
{'loss': '0.2117', 'grad_norm': '30.74', 'learning_rate': '6.354e-06', 'epoch': '0.8004'}
{'loss': '0.2126', 'grad_norm': '5.471', 'learning_rate': '6.336e-06', 'epoch': '0.8041'}
{'loss': '0.2361', 'grad_norm': '4.741', 'learning_rate': '6.317e-06', 'epoch': '0.8078'}
{'loss': '0.2058', 'grad_norm': '4.678', 'learning_rate': '6.299e-06', 'epoch': '0.8114'}
{'eval_loss': '0.2095', 'eval_wer': '0.2259', 'eval_runtime': '23.84', 'eval_samples_per_second': '59.85', 'eval_steps_per_second': '7.508', 'epoch': '0.8114'}
{'loss': '0.2398', 'grad_norm': '21.88', 'learning_rate': '6.28e-06', 'epoch': '0.8151'}
{'loss': '0.2371', 'grad_norm': '3.633', 'learning_rate': '6.262e-06', 'epoch': '0.8188'}
