Starting training at: Thu Apr 16 10:43:15 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '2.331', 'grad_norm': '4.175', 'learning_rate': '9.409e-06', 'epoch': '0.1918'}
{'loss': '2.177', 'grad_norm': '4.631', 'learning_rate': '9.39e-06', 'epoch': '0.1955'}
{'loss': '2.028', 'grad_norm': '3.572', 'learning_rate': '9.372e-06', 'epoch': '0.1992'}
{'loss': '1.914', 'grad_norm': '4.125', 'learning_rate': '9.353e-06', 'epoch': '0.2029'}
{'loss': '1.773', 'grad_norm': '4.232', 'learning_rate': '9.335e-06', 'epoch': '0.2066'}
{'loss': '1.701', 'grad_norm': '5.508', 'learning_rate': '9.316e-06', 'epoch': '0.2102'}
{'loss': '1.606', 'grad_norm': '21.1', 'learning_rate': '9.298e-06', 'epoch': '0.2139'}
{'loss': '1.494', 'grad_norm': '5.385', 'learning_rate': '9.279e-06', 'epoch': '0.2176'}
{'loss': '1.402', 'grad_norm': '6.999', 'learning_rate': '9.261e-06', 'epoch': '0.2213'}
{'eval_loss': '1.311', 'eval_wer': '0.7209', 'eval_runtime': '29.44', 'eval_samples_per_second': '48.48', 'eval_steps_per_second': '6.081', 'epoch': '0.2213'}
{'loss': '1.302', 'grad_norm': '5.452', 'learning_rate': '9.242e-06', 'epoch': '0.225'}
{'loss': '1.23', 'grad_norm': '16.24', 'learning_rate': '9.224e-06', 'epoch': '0.2287'}
{'loss': '1.181', 'grad_norm': '4.441', 'learning_rate': '9.205e-06', 'epoch': '0.2324'}
{'loss': '1.11', 'grad_norm': '6.244', 'learning_rate': '9.187e-06', 'epoch': '0.2361'}
{'loss': '1.059', 'grad_norm': '11.57', 'learning_rate': '9.168e-06', 'epoch': '0.2397'}
{'loss': '1.018', 'grad_norm': '4.559', 'learning_rate': '9.15e-06', 'epoch': '0.2434'}
{'loss': '0.986', 'grad_norm': '6.456', 'learning_rate': '9.131e-06', 'epoch': '0.2471'}
{'loss': '0.9589', 'grad_norm': '7.371', 'learning_rate': '9.113e-06', 'epoch': '0.2508'}
{'loss': '0.9178', 'grad_norm': '9.625', 'learning_rate': '9.094e-06', 'epoch': '0.2545'}
{'loss': '0.8706', 'grad_norm': '4.761', 'learning_rate': '9.076e-06', 'epoch': '0.2582'}
{'eval_loss': '0.8264', 'eval_wer': '0.5135', 'eval_runtime': '29.74', 'eval_samples_per_second': '47.98', 'eval_steps_per_second': '6.018', 'epoch': '0.2582'}
{'loss': '0.8795', 'grad_norm': '8.308', 'learning_rate': '9.057e-06', 'epoch': '0.2619'}
{'loss': '0.8666', 'grad_norm': '9.908', 'learning_rate': '9.039e-06', 'epoch': '0.2656'}
{'loss': '0.8049', 'grad_norm': '6.366', 'learning_rate': '9.02e-06', 'epoch': '0.2693'}
{'loss': '0.7976', 'grad_norm': '7.246', 'learning_rate': '9.001e-06', 'epoch': '0.2729'}
{'loss': '0.784', 'grad_norm': '5.881', 'learning_rate': '8.983e-06', 'epoch': '0.2766'}
{'loss': '0.7785', 'grad_norm': '26.24', 'learning_rate': '8.964e-06', 'epoch': '0.2803'}
{'loss': '0.74', 'grad_norm': '6.85', 'learning_rate': '8.946e-06', 'epoch': '0.284'}
{'loss': '0.734', 'grad_norm': '4.923', 'learning_rate': '8.927e-06', 'epoch': '0.2877'}
{'loss': '0.7061', 'grad_norm': '6.14', 'learning_rate': '8.909e-06', 'epoch': '0.2914'}
{'loss': '0.7154', 'grad_norm': '10.9', 'learning_rate': '8.89e-06', 'epoch': '0.2951'}
{'eval_loss': '0.6406', 'eval_wer': '0.4401', 'eval_runtime': '30.52', 'eval_samples_per_second': '46.76', 'eval_steps_per_second': '5.866', 'epoch': '0.2951'}
{'loss': '0.6844', 'grad_norm': '7.915', 'learning_rate': '8.872e-06', 'epoch': '0.2988'}
{'loss': '0.7189', 'grad_norm': '9.107', 'learning_rate': '8.853e-06', 'epoch': '0.3024'}
{'loss': '0.6685', 'grad_norm': '11.37', 'learning_rate': '8.835e-06', 'epoch': '0.3061'}
{'loss': '0.6492', 'grad_norm': '8.668', 'learning_rate': '8.816e-06', 'epoch': '0.3098'}
{'loss': '0.6805', 'grad_norm': '20.69', 'learning_rate': '8.798e-06', 'epoch': '0.3135'}
{'loss': '0.6476', 'grad_norm': '8.596', 'learning_rate': '8.779e-06', 'epoch': '0.3172'}
{'loss': '0.6231', 'grad_norm': '7.975', 'learning_rate': '8.761e-06', 'epoch': '0.3209'}
{'loss': '0.6352', 'grad_norm': '17.26', 'learning_rate': '8.742e-06', 'epoch': '0.3246'}
{'loss': '0.6315', 'grad_norm': '10.53', 'learning_rate': '8.724e-06', 'epoch': '0.3283'}
{'loss': '0.6232', 'grad_norm': '8.038', 'learning_rate': '8.705e-06', 'epoch': '0.332'}
{'eval_loss': '0.5527', 'eval_wer': '0.3823', 'eval_runtime': '29.93', 'eval_samples_per_second': '47.68', 'eval_steps_per_second': '5.98', 'epoch': '0.332'}
{'loss': '0.6074', 'grad_norm': '10.09', 'learning_rate': '8.687e-06', 'epoch': '0.3356'}
{'loss': '0.5848', 'grad_norm': '16.19', 'learning_rate': '8.668e-06', 'epoch': '0.3393'}
{'loss': '0.5972', 'grad_norm': '9.475', 'learning_rate': '8.65e-06', 'epoch': '0.343'}
{'loss': '0.5597', 'grad_norm': '6.577', 'learning_rate': '8.631e-06', 'epoch': '0.3467'}
{'loss': '0.5605', 'grad_norm': '17.18', 'learning_rate': '8.613e-06', 'epoch': '0.3504'}
{'loss': '0.5451', 'grad_norm': '8.522', 'learning_rate': '8.594e-06', 'epoch': '0.3541'}
{'loss': '0.5747', 'grad_norm': '9.182', 'learning_rate': '8.576e-06', 'epoch': '0.3578'}
{'loss': '0.5484', 'grad_norm': '6.494', 'learning_rate': '8.557e-06', 'epoch': '0.3615'}
{'loss': '0.5648', 'grad_norm': '8.529', 'learning_rate': '8.539e-06', 'epoch': '0.3652'}
{'loss': '0.5626', 'grad_norm': '17.89', 'learning_rate': '8.52e-06', 'epoch': '0.3688'}
{'eval_loss': '0.4889', 'eval_wer': '0.3534', 'eval_runtime': '29.72', 'eval_samples_per_second': '48.01', 'eval_steps_per_second': '6.022', 'epoch': '0.3688'}
{'loss': '0.5498', 'grad_norm': '20.92', 'learning_rate': '8.501e-06', 'epoch': '0.3725'}
{'loss': '0.5069', 'grad_norm': '8.801', 'learning_rate': '8.483e-06', 'epoch': '0.3762'}
{'loss': '0.5113', 'grad_norm': '9.18', 'learning_rate': '8.464e-06', 'epoch': '0.3799'}
{'loss': '0.4866', 'grad_norm': '8.774', 'learning_rate': '8.446e-06', 'epoch': '0.3836'}
{'loss': '0.518', 'grad_norm': '12.73', 'learning_rate': '8.427e-06', 'epoch': '0.3873'}
{'loss': '0.493', 'grad_norm': '5.643', 'learning_rate': '8.409e-06', 'epoch': '0.391'}
{'loss': '0.4966', 'grad_norm': '8.563', 'learning_rate': '8.39e-06', 'epoch': '0.3947'}
