Starting training at: Thu Apr 16 11:33:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '1.898', 'grad_norm': '6.624', 'learning_rate': '9.409e-06', 'epoch': '0.1918'}
{'loss': '1.725', 'grad_norm': '7.497', 'learning_rate': '9.39e-06', 'epoch': '0.1955'}
{'loss': '1.583', 'grad_norm': '6.142', 'learning_rate': '9.371e-06', 'epoch': '0.1992'}
{'loss': '1.498', 'grad_norm': '8.649', 'learning_rate': '9.353e-06', 'epoch': '0.2029'}
{'loss': '1.359', 'grad_norm': '5.038', 'learning_rate': '9.334e-06', 'epoch': '0.2066'}
{'loss': '1.348', 'grad_norm': '6.463', 'learning_rate': '9.316e-06', 'epoch': '0.2102'}
{'loss': '1.279', 'grad_norm': '6.566', 'learning_rate': '9.297e-06', 'epoch': '0.2139'}
{'loss': '1.213', 'grad_norm': '4.943', 'learning_rate': '9.279e-06', 'epoch': '0.2176'}
{'loss': '1.157', 'grad_norm': '6.652', 'learning_rate': '9.26e-06', 'epoch': '0.2213'}
{'eval_loss': '1.081', 'eval_wer': '0.6736', 'eval_runtime': '24.25', 'eval_samples_per_second': '58.84', 'eval_steps_per_second': '7.381', 'epoch': '0.2213'}
{'loss': '1.096', 'grad_norm': '5.291', 'learning_rate': '9.242e-06', 'epoch': '0.225'}
{'loss': '1.037', 'grad_norm': '15.47', 'learning_rate': '9.223e-06', 'epoch': '0.2287'}
{'loss': '0.9997', 'grad_norm': '12.24', 'learning_rate': '9.205e-06', 'epoch': '0.2324'}
{'loss': '1.004', 'grad_norm': '5.332', 'learning_rate': '9.186e-06', 'epoch': '0.2361'}
{'loss': '0.9509', 'grad_norm': '6.727', 'learning_rate': '9.168e-06', 'epoch': '0.2397'}
{'loss': '0.9201', 'grad_norm': '8.2', 'learning_rate': '9.149e-06', 'epoch': '0.2434'}
{'loss': '0.9038', 'grad_norm': '9.967', 'learning_rate': '9.131e-06', 'epoch': '0.2471'}
{'loss': '0.8759', 'grad_norm': '19.59', 'learning_rate': '9.112e-06', 'epoch': '0.2508'}
{'loss': '0.853', 'grad_norm': '18.57', 'learning_rate': '9.094e-06', 'epoch': '0.2545'}
{'loss': '0.8065', 'grad_norm': '5.88', 'learning_rate': '9.075e-06', 'epoch': '0.2582'}
{'eval_loss': '0.8184', 'eval_wer': '0.5351', 'eval_runtime': '24.33', 'eval_samples_per_second': '58.65', 'eval_steps_per_second': '7.357', 'epoch': '0.2582'}
{'loss': '0.8089', 'grad_norm': '6.753', 'learning_rate': '9.057e-06', 'epoch': '0.2619'}
{'loss': '0.8', 'grad_norm': '15.36', 'learning_rate': '9.038e-06', 'epoch': '0.2656'}
{'loss': '0.7638', 'grad_norm': 'inf', 'learning_rate': '9.02e-06', 'epoch': '0.2693'}
{'loss': '0.748', 'grad_norm': '17.9', 'learning_rate': '9.001e-06', 'epoch': '0.2729'}
{'loss': '0.7599', 'grad_norm': '7.21', 'learning_rate': '8.983e-06', 'epoch': '0.2766'}
{'loss': '0.769', 'grad_norm': '5.886', 'learning_rate': '8.964e-06', 'epoch': '0.2803'}
{'loss': '0.7318', 'grad_norm': '8.569', 'learning_rate': '8.946e-06', 'epoch': '0.284'}
{'loss': '0.6943', 'grad_norm': '10.28', 'learning_rate': '8.927e-06', 'epoch': '0.2877'}
{'loss': '0.6785', 'grad_norm': '13.95', 'learning_rate': '8.909e-06', 'epoch': '0.2914'}
{'loss': '0.7153', 'grad_norm': '7.674', 'learning_rate': '8.89e-06', 'epoch': '0.2951'}
{'eval_loss': '0.6572', 'eval_wer': '0.4511', 'eval_runtime': '24.31', 'eval_samples_per_second': '58.7', 'eval_steps_per_second': '7.363', 'epoch': '0.2951'}
{'loss': '0.6615', 'grad_norm': '10.29', 'learning_rate': '8.872e-06', 'epoch': '0.2988'}
{'loss': '0.693', 'grad_norm': '6.691', 'learning_rate': '8.853e-06', 'epoch': '0.3024'}
{'loss': '0.6855', 'grad_norm': '11.49', 'learning_rate': '8.835e-06', 'epoch': '0.3061'}
{'loss': '0.687', 'grad_norm': '9.095', 'learning_rate': '8.816e-06', 'epoch': '0.3098'}
{'loss': '0.6799', 'grad_norm': '21.48', 'learning_rate': '8.798e-06', 'epoch': '0.3135'}
{'loss': '0.6473', 'grad_norm': '6.29', 'learning_rate': '8.779e-06', 'epoch': '0.3172'}
{'loss': '0.6032', 'grad_norm': '14.82', 'learning_rate': '8.761e-06', 'epoch': '0.3209'}
{'loss': '0.6126', 'grad_norm': '9.058', 'learning_rate': '8.742e-06', 'epoch': '0.3246'}
{'loss': '0.606', 'grad_norm': '14.32', 'learning_rate': '8.724e-06', 'epoch': '0.3283'}
{'loss': '0.6102', 'grad_norm': '9.641', 'learning_rate': '8.705e-06', 'epoch': '0.332'}
{'eval_loss': '0.5741', 'eval_wer': '0.3857', 'eval_runtime': '24.37', 'eval_samples_per_second': '58.55', 'eval_steps_per_second': '7.344', 'epoch': '0.332'}
{'loss': '0.6142', 'grad_norm': '13.57', 'learning_rate': '8.687e-06', 'epoch': '0.3356'}
{'loss': '0.5573', 'grad_norm': '8.345', 'learning_rate': '8.668e-06', 'epoch': '0.3393'}
{'loss': '0.5898', 'grad_norm': '10.87', 'learning_rate': '8.65e-06', 'epoch': '0.343'}
{'loss': '0.5638', 'grad_norm': '5.119', 'learning_rate': '8.631e-06', 'epoch': '0.3467'}
{'loss': '0.5277', 'grad_norm': '20.63', 'learning_rate': '8.613e-06', 'epoch': '0.3504'}
{'loss': '0.5419', 'grad_norm': '6.373', 'learning_rate': '8.594e-06', 'epoch': '0.3541'}
{'loss': '0.6017', 'grad_norm': '15.27', 'learning_rate': '8.576e-06', 'epoch': '0.3578'}
{'loss': '0.5293', 'grad_norm': '6.125', 'learning_rate': '8.557e-06', 'epoch': '0.3615'}
{'loss': '0.565', 'grad_norm': '10.45', 'learning_rate': '8.539e-06', 'epoch': '0.3652'}
{'loss': '0.5602', 'grad_norm': '17.21', 'learning_rate': '8.52e-06', 'epoch': '0.3688'}
{'eval_loss': '0.5086', 'eval_wer': '0.3562', 'eval_runtime': '25.51', 'eval_samples_per_second': '55.94', 'eval_steps_per_second': '7.017', 'epoch': '0.3688'}
